run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,shape_fit_attempted,shape_fit_resolved,shape_fit_nonconcave,shape_fit_failed,ulp_step_adjusted,eps_ulps_bumped,fit_fast_sec,fit_high_precision_sec,high_precision_points,hp_3point_attempted,hp_3point_resolved,hp_3point_failed,hp_flat_tol_scale
2026-04-30 23:44:47,2,0.000425,0.000619,0.001043,3,1,0.500000000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,3,0.000334,0.000589,0.000923,5,3,0.633974596216,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,4,0.000470,0.000375,0.000845,9,3,0.600000000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,5,0.000717,0.000488,0.001205,13,3,0.585786437627,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,6,0.001039,0.000448,0.001487,19,7,0.646110632135,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,8,0.001402,0.000467,0.001869,33,5,0.612574113277,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,7,0.001398,0.000560,0.001959,25,5,0.625000000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,9,0.001697,0.000432,0.002129,41,11,0.651668522645,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,10,0.002266,0.000587,0.002853,51,7,0.636363636364,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,12,0.002866,0.000479,0.003345,73,11,0.617360894272,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,11,0.003730,0.000630,0.004360,61,7,0.625933303851,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,14,0.004066,0.000608,0.004674,99,9,0.633974596216,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,13,0.004983,0.000660,0.005643,85,9,0.642857142857,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,15,0.005114,0.000610,0.005724,113,11,0.656929669183,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,16,0.005762,0.000892,0.006654,129,11,0.647058823529,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,17,0.008115,0.000667,0.008782,145,11,0.639355090267,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,18,0.007812,0.001268,0.009080,163,11,0.631578947368,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,19,0.009632,0.000750,0.010382,181,15,0.650000000000,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,20,0.009072,0.000951,0.010023,201,15,0.643210827675,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,22,0.011673,0.002383,0.014057,243,17,0.652173913043,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,21,0.014162,0.002944,0.017107,221,15,0.636363636364,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,23,0.013898,0.013144,0.027042,265,17,0.646110632135,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
