run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,ulp_step_adjusted,hp_3point_sec,high_precision_points,hp_3point_attempted,hp_3point_resolved,hp_3point_failed,hp_flat_tol_scale
2026-05-02 12:27:57,442,4.771203,0.098699,4.869903,97683,311,0.651242383269,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,443,4.827941,0.099656,4.927597,98125,311,0.652027876768,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,444,4.806105,0.092550,4.898656,98569,313,0.651685393258,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,445,4.863780,0.095604,4.959384,99013,309,0.651346129077,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,446,4.797592,0.095655,4.893247,99459,315,0.651008929086,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,447,4.853990,0.096067,4.950057,99905,319,0.651785714286,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,448,4.989067,0.096728,5.085796,100353,311,0.651448488583,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,449,4.898294,0.095864,4.994158,100801,317,0.651113301134,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,450,4.899971,0.095518,4.995489,101251,317,0.651884700665,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,451,4.935577,0.104400,5.039977,101701,317,0.651549489391,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,452,4.992587,0.112925,5.105512,102153,317,0.651216290916,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,453,5.022508,0.097064,5.119572,102605,313,0.651982378855,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,454,5.036248,0.103642,5.139891,103059,319,0.651649158375,0,0,0,0,0.000000,0,0,0,0,1.0e+12
