run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points
2026-04-30 15:54:35,265,0.300340,0.064615,0.364955,35113
2026-04-30 15:54:35,266,0.303862,0.059814,0.363676,35379
2026-04-30 15:54:35,267,0.295383,0.068161,0.363544,35645
2026-04-30 15:54:35,268,0.307157,0.067641,0.374797,35913
2026-04-30 15:54:35,269,0.296572,0.056190,0.352762,36181
2026-04-30 15:54:35,270,0.298137,0.058703,0.356840,36451
2026-04-30 15:54:35,271,0.299989,0.065774,0.365763,36721
2026-04-30 15:54:35,272,0.300102,0.087198,0.387300,36993
2026-04-30 15:54:35,273,0.318433,0.066267,0.384700,37263
2026-04-30 15:54:35,274,0.322026,0.063694,0.385720,37537
2026-04-30 15:54:35,275,0.321599,0.065964,0.387563,37813
2026-04-30 15:54:35,276,0.335648,0.074478,0.410125,38089
2026-04-30 15:54:35,277,0.329276,0.057931,0.387207,38363
2026-04-30 15:54:35,278,0.348738,0.077476,0.426214,38643
2026-04-30 15:54:35,279,0.336834,0.073810,0.410644,38921
2026-04-30 15:54:35,280,0.323481,0.066785,0.390266,39201
2026-04-30 15:54:35,281,0.325792,0.077089,0.402881,39481
2026-04-30 15:54:35,282,0.316378,0.059688,0.376066,39763
2026-04-30 15:54:35,283,0.338220,0.103062,0.441282,40045
2026-04-30 15:54:35,284,0.335209,0.070689,0.405898,40329
2026-04-30 15:54:35,285,0.357639,0.074574,0.432213,40613
2026-04-30 15:54:35,286,0.371478,0.084497,0.455975,40899
2026-04-30 15:54:35,287,0.377961,0.074598,0.452560,41185
2026-04-30 15:54:35,288,0.364279,0.076363,0.440642,41471
2026-04-30 15:54:35,289,0.345455,0.064783,0.410238,41761
2026-04-30 15:54:35,290,0.363979,0.077572,0.441551,42051
2026-04-30 15:54:35,291,0.357934,0.073358,0.431292,42341
2026-04-30 15:54:35,292,0.394117,0.076263,0.470380,42633
2026-04-30 15:54:35,293,0.344638,0.071907,0.416545,42925
2026-04-30 15:54:35,294,0.351404,0.096712,0.448116,43219
2026-04-30 15:54:35,295,0.370871,0.069918,0.440790,43513
2026-04-30 15:54:35,296,0.373123,0.078122,0.451245,43809
2026-04-30 15:54:35,297,0.393818,0.088440,0.482257,44105
2026-04-30 15:54:35,298,0.390810,0.070362,0.461173,44403
2026-04-30 15:54:35,299,0.368522,0.080663,0.449185,44701
2026-04-30 15:54:35,300,0.384368,0.082365,0.466733,45001
2026-04-30 15:54:35,301,0.394526,0.093652,0.488177,45299
2026-04-30 15:54:35,302,0.405928,0.083243,0.489171,45603
2026-04-30 15:54:35,303,0.381319,0.112237,0.493556,45905
2026-04-30 15:54:35,304,0.396328,0.110971,0.507299,46207
2026-04-30 15:54:35,305,0.400588,0.087160,0.487748,46513
2026-04-30 15:54:35,306,0.416030,0.091538,0.507568,46819
2026-04-30 15:54:35,307,0.407876,0.085387,0.493262,47125
2026-04-30 15:54:35,308,0.415057,0.075243,0.490300,47433
2026-04-30 15:54:35,309,0.429529,0.077943,0.507472,47741
2026-04-30 15:54:35,310,0.410772,0.081610,0.492382,48051
2026-04-30 15:54:35,311,0.397485,0.080221,0.477705,48361
2026-04-30 15:54:35,312,0.422719,0.085921,0.508640,48669
2026-04-30 15:54:35,313,0.415713,0.096505,0.512218,48985
2026-04-30 15:54:35,314,0.428701,0.080076,0.508778,49299
2026-04-30 15:54:35,315,0.414784,0.084637,0.499422,49611
2026-04-30 15:54:35,316,0.438221,0.089727,0.527948,49929
2026-04-30 15:54:35,317,0.408785,0.091076,0.499861,50245
2026-04-30 15:54:35,318,0.437849,0.088752,0.526601,50563
2026-04-30 15:54:35,319,0.440921,0.087206,0.528127,50881
2026-04-30 15:54:35,320,0.439606,0.092330,0.531936,51201
2026-04-30 15:54:35,321,0.442240,0.082891,0.525132,51521
2026-04-30 15:54:35,322,0.415156,0.110865,0.526021,51843
2026-04-30 15:54:35,323,0.454881,0.094194,0.549075,52165
2026-04-30 15:54:35,324,0.444808,0.084538,0.529345,52489
2026-04-30 15:54:35,325,0.451914,0.094708,0.546622,52813
2026-04-30 15:54:35,326,0.448611,0.077908,0.526518,53137
2026-04-30 15:54:35,327,0.467689,0.098710,0.566398,53465
2026-04-30 15:54:35,328,0.455670,0.089517,0.545186,53793
2026-04-30 15:54:35,329,0.448362,0.109172,0.557534,54121
2026-04-30 15:54:35,330,0.445800,0.115235,0.561035,54451
2026-04-30 15:54:35,331,0.468814,0.095959,0.564773,54781
2026-04-30 15:54:35,332,0.475754,0.098369,0.574123,55113
2026-04-30 15:54:35,333,0.493066,0.098216,0.591282,55445
2026-04-30 15:54:35,334,0.488740,0.085036,0.573776,55779
2026-04-30 15:54:35,335,0.473200,0.102080,0.575280,56113
2026-04-30 15:54:35,336,0.491784,0.106927,0.598711,56449
2026-04-30 15:54:35,337,0.465866,0.122812,0.588678,56783
2026-04-30 15:54:35,338,0.472199,0.110996,0.583195,57121
2026-04-30 15:54:35,339,0.497569,0.099037,0.596607,57461
2026-04-30 15:54:35,340,0.489923,0.111490,0.601413,57801
2026-04-30 15:54:35,341,0.514081,0.103903,0.617984,58141
2026-04-30 15:54:35,342,0.490750,0.101568,0.592318,58481
2026-04-30 15:54:35,343,0.527795,0.108001,0.635796,58825
2026-04-30 15:54:35,345,0.511302,0.099933,0.611235,59513
2026-04-30 15:54:35,344,0.522805,0.116441,0.639246,59169
2026-04-30 15:54:35,346,0.563042,0.113998,0.677041,59857
2026-04-30 15:54:35,347,0.511412,0.113109,0.624520,60203
2026-04-30 15:54:35,348,0.523310,0.107968,0.631278,60553
2026-04-30 15:54:35,349,0.526962,0.111882,0.638844,60899
2026-04-30 15:54:35,350,0.523295,0.108646,0.631942,61251
2026-04-30 15:54:35,351,0.537415,0.100149,0.637564,61597
2026-04-30 15:54:35,352,0.524734,0.113428,0.638162,61953
2026-04-30 15:54:35,353,0.537511,0.157741,0.695252,62305
2026-04-30 15:54:35,354,0.539345,0.125638,0.664983,62657
2026-04-30 15:54:35,355,0.529719,0.110004,0.639723,63013
2026-04-30 15:54:35,356,0.536998,0.116802,0.653800,63369
2026-04-30 15:54:35,357,0.538799,0.109685,0.648484,63721
2026-04-30 15:54:35,358,0.542096,0.132082,0.674178,64083
2026-04-30 15:54:35,359,0.556743,0.160369,0.717112,64441
2026-04-30 15:54:35,360,0.563313,0.126883,0.690196,64801
2026-04-30 15:54:35,361,0.568030,0.128782,0.696812,65159
2026-04-30 15:54:35,363,0.525128,0.128222,0.653350,65885
2026-04-30 15:54:35,362,0.548567,0.134221,0.682789,65523
2026-04-30 15:54:35,364,0.570183,0.109547,0.679730,66249
2026-04-30 15:54:35,365,0.583749,0.145447,0.729196,66613
2026-04-30 15:54:35,366,0.587512,0.115263,0.702775,66979
2026-04-30 15:54:35,368,0.555939,0.147981,0.703920,67711
2026-04-30 15:54:35,367,0.629632,0.126562,0.756194,67345
2026-04-30 15:54:35,369,0.598011,0.139731,0.737742,68081
2026-04-30 15:54:35,371,0.609659,0.131814,0.741474,68821
2026-04-30 15:54:35,370,0.597952,0.155673,0.753626,68449
2026-04-30 15:54:35,372,0.613576,0.181726,0.795302,69193
2026-04-30 15:54:35,373,0.602941,0.140826,0.743767,69565
2026-04-30 15:54:35,374,0.626030,0.129485,0.755515,69939
2026-04-30 15:54:35,376,0.616057,0.129592,0.745650,70689
2026-04-30 15:54:35,375,0.629738,0.151790,0.781528,70313
2026-04-30 15:54:35,377,0.621409,0.140064,0.761473,71065
2026-04-30 15:54:35,379,0.606942,0.133264,0.740206,71821
2026-04-30 15:54:35,378,0.603048,0.161274,0.764322,71443
2026-04-30 15:54:35,380,0.615184,0.138692,0.753876,72201
2026-04-30 15:54:35,381,0.604107,0.139966,0.744073,72581
2026-04-30 15:54:35,382,0.622986,0.130033,0.753020,72963
2026-04-30 15:54:35,383,0.624342,0.162149,0.786491,73345
2026-04-30 15:54:35,384,0.649256,0.140753,0.790009,73729
2026-04-30 15:54:35,385,0.616151,0.168700,0.784851,74113
2026-04-30 15:54:35,386,0.617998,0.144535,0.762533,74499
2026-04-30 15:54:35,387,0.634125,0.137120,0.771245,74885
2026-04-30 15:54:35,388,0.628120,0.133473,0.761593,75273
2026-04-30 15:54:35,389,0.667952,0.156933,0.824885,75657
2026-04-30 15:54:35,390,0.664967,0.141500,0.806467,76051
2026-04-30 15:54:35,391,0.650470,0.137655,0.788125,76441
2026-04-30 15:54:35,392,0.645498,0.128156,0.773654,76831
2026-04-30 15:54:35,393,0.656473,0.142384,0.798858,77225
2026-04-30 15:54:35,394,0.623351,0.170201,0.793552,77619
2026-04-30 15:54:35,395,0.652071,0.139902,0.791972,78013
2026-04-30 15:54:35,396,0.673127,0.182322,0.855448,78409
2026-04-30 15:54:35,397,0.673704,0.126286,0.799990,78805
2026-04-30 15:54:35,398,0.660207,0.142243,0.802451,79203
2026-04-30 15:54:35,399,0.655070,0.142724,0.797794,79599
2026-04-30 15:54:35,400,0.686686,0.132592,0.819278,80001
2026-04-30 15:54:35,402,0.671945,0.181100,0.853044,80803
2026-04-30 15:54:35,401,0.682643,0.216968,0.899611,80401
2026-04-30 15:54:35,403,0.733180,0.178260,0.911440,81205
2026-04-30 15:54:35,404,0.743078,0.127150,0.870227,81609
2026-04-30 15:54:35,405,0.729238,0.161454,0.890692,82013
2026-04-30 15:54:35,406,0.721804,0.188099,0.909903,82417
2026-04-30 15:54:35,407,0.736043,0.156584,0.892627,82823
2026-04-30 15:54:35,408,0.771753,0.149014,0.920767,83231
2026-04-30 15:54:35,410,0.734717,0.147962,0.882679,84051
2026-04-30 15:54:35,409,0.713153,0.198455,0.911608,83641
2026-04-30 15:54:35,411,0.725513,0.212302,0.937816,84459
2026-04-30 15:54:35,412,0.758478,0.173337,0.931815,84873
2026-04-30 15:54:35,413,0.799326,0.156292,0.955619,85283
2026-04-30 15:54:35,414,0.785118,0.146212,0.931331,85699
2026-04-30 15:54:35,415,0.797354,0.144938,0.942292,86109
2026-04-30 15:54:35,416,0.781326,0.182960,0.964286,86525
2026-04-30 15:54:35,418,0.722629,0.164493,0.887123,87363
2026-04-30 15:54:35,417,0.796668,0.183096,0.979764,86945
2026-04-30 15:54:35,419,0.759957,0.152463,0.912420,87781
2026-04-30 15:54:35,420,0.744460,0.144173,0.888633,88201
2026-04-30 15:54:35,421,0.762265,0.188600,0.950865,88621
